iter	Logloss
333	0.2739882359
334	0.2737799038
335	0.2736095018
336	0.273462559
337	0.2732651985
338	0.2728881694
339	0.2726571623
340	0.2724377835
341	0.2722298546
342	0.2719784411
343	0.2717984274
344	0.2716519571
345	0.2715292432
346	0.2714268676
347	0.271066785
348	0.2709606878
349	0.2708681232
350	0.2708122089
351	0.2706950814
352	0.2705023133
353	0.2704162885
354	0.2702752014
355	0.2701340088
356	0.2700451128
357	0.2699703899
358	0.2699317883
359	0.269554028
360	0.2692540738
361	0.2689882882
362	0.2688555549
363	0.2686549851
364	0.2685170332
365	0.2679559999
366	0.2678778494
367	0.2677915819
368	0.2676029812
369	0.2670091423
370	0.2668171346
371	0.2666625615
372	0.2664332371
373	0.2660325208
374	0.2659121778
375	0.2657882946
376	0.2656152761
377	0.265449302
378	0.2652764714
379	0.2649464374
380	0.2648177744
381	0.2644508789
382	0.2643977187
383	0.2642481983
384	0.2639151452
385	0.2636835717
386	0.2634910945
387	0.2633034851
388	0.2632047372
389	0.2631480011
390	0.2630096726
391	0.2625209767
392	0.2623753808
393	0.2623075226
394	0.2621504345
395	0.2620653882
396	0.26204194
397	0.2620281364
398	0.2619330858
399	0.261648319
400	0.2614674838
401	0.2612065502
402	0.2609449899
403	0.2606562903
404	0.2605524315
405	0.2602785256
406	0.2597969998
407	0.2595335785
408	0.2594049856
409	0.2592054839
410	0.2590676855
411	0.2589416925
412	0.2587427052
413	0.2584230199
414	0.2582685721
415	0.2579666653
416	0.2579085843
417	0.2577361204
418	0.2577001968
419	0.2574390456
420	0.257370228
421	0.2573574661
422	0.2571718653
423	0.2570500033
424	0.2570002383
425	0.256901861
426	0.2568750438
427	0.2567248644
428	0.2566183625
429	0.2564177483
430	0.2562719621
431	0.2560743529
432	0.2559809306
433	0.255547181
434	0.255190861
435	0.2550415616
436	0.2549827015
437	0.2549016878
438	0.2546766737
439	0.2542636232
440	0.2541700068
441	0.2537035128
442	0.2536430273
443	0.2534355964
444	0.2533740402
445	0.2532493097
446	0.2532251011
447	0.2529300627
448	0.2526935897
449	0.2525259367
450	0.252400199
451	0.252275835
452	0.2521680956
453	0.2521174833
454	0.2519745035
455	0.2511506413
456	0.2509979472
457	0.2508946934
458	0.2507282753
459	0.2507044275
460	0.2504305382
461	0.2502181128
462	0.2500370823
463	0.2499098407
464	0.2498146223
465	0.2494174203
466	0.2492164668
467	0.2491397359
468	0.2491051896
469	0.2488445777
470	0.2486166985
471	0.2484159372
472	0.2483565397
473	0.2483126401
474	0.2482123013
475	0.2480264971
476	0.2479055462
477	0.2477478869
478	0.2475759425
479	0.2474868502
480	0.2472643955
481	0.2472148348
482	0.2471629092
483	0.2471083354
484	0.2469409357
485	0.2465787762
486	0.2465395655
487	0.2464972921
488	0.2461707216
489	0.2460873073
490	0.2458506832
491	0.2456864728
492	0.2455768591
493	0.2454083
494	0.245379239
495	0.2453587394
496	0.2452023553
497	0.2449791893
498	0.2448928357
499	0.2447811889
